neo4j_token:string,rdf_iri:string
RdfEdge_0327481b0a8ba0e03412ec9e0d5d7c1007950ff84182f333b8189a33af5a411b,https://blackcatinformatics.ca/gmeow/assignedMeter
RdfEdge_0945e21f4f945182496f73b1b3f43eaf1766bbcd0d9c75f5c51ca2125ee9d0b0,https://blackcatinformatics.ca/gmeow/participationRole
RdfEdge_1de8b51baea2fc440be20fed87db5fdf30510175d88631d88fa26b82558a64dd,https://blackcatinformatics.ca/gmeow/parentFrame
RdfEdge_331ff4bac358d2f1a23911eec6d9d08e2bcfe685f201c60bdf58463a9db6316c,https://blackcatinformatics.ca/gmeow/participationEvent
RdfEdge_3af6497654f3965887da48e7df9a82a718fe162583ac8e1d88ddc5f3161cf695,https://blackcatinformatics.ca/gmeow/accordingTo
RdfEdge_440cc77b4e048de822ef9b00387a8e725328300bd9b04d80f375d4993a42d1ee,https://blackcatinformatics.ca/gmeow/hasGenre
RdfEdge_444b0d9dcac7eb167c61d913047951e47a2a7a56bca7e83438aa65f94ae6a301,https://blackcatinformatics.ca/gmeow/signatureOf
RdfEdge_45e0994c8a5191a3f273b6394ef81c9a7739f316b8a5252aced834bf4c09a714,https://blackcatinformatics.ca/gmeow/deceptiveIntentClaim
RdfEdge_4a7ec67970a9fb46c4a11c8cbe4f785cfd6eaf33ca5169502a724c3df15778d5,https://blackcatinformatics.ca/gmeow/hasReferenceFrame
RdfEdge_5bb08e96006a26aa6b2e030af8002fc3804cf8bf6994544a40a4c109b11c86ec,https://blackcatinformatics.ca/gmeow/propagatesFrom
RdfEdge_5f5a7419a65f8487bba350cecb1d2cdf9358b7f7ef64f6d060a2c05f415a5e2d,https://blackcatinformatics.ca/gmeow/trademarkHolder
RdfEdge_6df7f0c5954e15f1f5134b87777a863f760748e1567fbe6d4afe667c418919bf,https://blackcatinformatics.ca/gmeow/authoredBy
RdfEdge_75644b0599d3e176c727a96bfa98086be2ebfcf43eab91694daf534ac2b3f05a,https://blackcatinformatics.ca/gmeow/hasVerificationStatus
RdfEdge_7cee38c71a7416b25e95a3c068797da039fba1a78a687f3544c41662a6c88bf3,https://blackcatinformatics.ca/gmeow/copyrightHolder
RdfEdge_7cf2ab6ca59bc7e22e338b994ce08558ce346149903f5075ddca37d50351b565,https://blackcatinformatics.ca/gmeow/participationParticipant
RdfEdge_83fcc7d24a2e8446d071e4cda545413528ca5e0fd3d5dcc6c398f37b047e2341,https://blackcatinformatics.ca/gmeow/analysisResult
RdfEdge_89604ba12d445db3831f01a68fb43ac32f7b65f253d33ad0008cb9347c7f439f,https://blackcatinformatics.ca/gmeow/claimVeridicality
RdfEdge_9855d63b908abbaed704b923d6885b33fd037f912078570b5fd6dc24f52f2ad0,https://blackcatinformatics.ca/gmeow/eventType
RdfEdge_9abbd6b9e032a3184214b536b42ae48755ab8a8db4be107fe2050be080e8608d,https://blackcatinformatics.ca/gmeow/heldStandpoint
RdfEdge_9ae42b2e3d05598fb49943f8c092e773da21793179b02980012baa3432685ebe,https://blackcatinformatics.ca/gmeow/projectedStandpoint
RdfEdge_a2800aa130b9d30c675ad1fcbc6744f26d986db0ee9aef3521761311be36ed3a,https://blackcatinformatics.ca/gmeow/containedInPlace
RdfEdge_a701aaa61a4f75e876fe888376a8058a41a6efd54a16fbbc64566668705cf375,https://blackcatinformatics.ca/gmeow/genderValue
RdfEdge_a7c7ed21d79fc92b6ed921fc2572a3b08e7fd2c8ba97b3b83744b5fa3e7f74b1,https://blackcatinformatics.ca/gmeow/knowsLanguage
RdfEdge_b72266b0a84c84698a150174754e8e46782d8a77f49225746deafb9200220f6d,https://blackcatinformatics.ca/gmeow/hasComposer
RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,https://blackcatinformatics.ca/gmeow/claimModality
RdfEdge_c5129733974085fe6a5c11762c9e208a43a953b40d1db61cc0c61fc44392d1dc,https://blackcatinformatics.ca/gmeow/attestationType
RdfEdge_cf1f464d0aca027208c8101990e4df81d5c1b37d6e43f9c38b0c90cd7131ba26,https://blackcatinformatics.ca/gmeow/hasParticipant
RdfEdge_d9ea7157f7644171724992c31c4213cb1b41e4c64e4727def32e6ca431cb1e9d,https://blackcatinformatics.ca/gmeow/hasLicense
RdfEdge_ddf335c9c060a2c1d0882ad9458ddf28051e210984238b16cafbb442080d02c2,https://blackcatinformatics.ca/gmeow/facetSubject
RdfEdge_e2e64339eef3cd4f0882af2288bb9acd7cde2e5969a3345681bc9b4ef010aa29,https://blackcatinformatics.ca/gmeow/observedFeature
RdfEdge_ec79b7fea862aaedd49a5d63b11bbfdaa635f57de8e23a8c1bbfb2911ab22cd2,https://blackcatinformatics.ca/gmeow/implicates
RdfEdge_f4f7be3feb53dfb8f2b653f7397712f4824f71a84faed6e22647a15b52ee0651,https://blackcatinformatics.ca/gmeow/counterpartOf
